category,site,site_type,title,price,shipping,pickup,currency,condition,url,image_url
gundam,eBay,marketplace,Bandai Spirits HGAC Gundam Deathscythe HG 1/144 Model Kit USA Seller,30.24,0.0,False,USD,New,https://www.ebay.com/itm/137592741262?_skw=gundam&hash=item20092a9d8e:g:XtQAAeSwh3NqiKee,https://i.ebayimg.com/images/g/XtQAAeSwh3NqiKee/s-l225.jpg
gundam,eBay,marketplace, 1/144 HG Freedom Gundam Pink Color Ver Plastic Model Kit Anime Desk Gift,14.99,0.0,False,USD,New,https://www.ebay.com/itm/206321482308?_skw=gundam&hash=item3009b7fa44:g:zAgAAeSwzyhqIUpA&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZa9JqfTegscA%2BPk4WgHIXZj%2FbijCdsZ8JgtVkaNJiW11XLLaHH0btv4YJqvpOVCFYQEr1hDA7h2AJCqJjj4GDZkEOkjp%2Bb%2F26wwen%2FQOdt6%2BMcBjQifL2MFB%2B00%2FWykKRddF4SgwT5vX9dgZMcKrGsy%2B%2BOQRkmJRDWTuLppPCMy7hqwslN8l1JzBgyaA4plbym0trLvKIz1FqMDN%2BGVOtbKQVG4GYirQm152QsfpkMptScSkJMZO%2FndLvx7Nrws84EF7vidQAEuvRRrP6a4O3w,https://i.ebayimg.com/images/g/zAgAAeSwzyhqIUpA/s-l225.jpg
gundam,eBay,marketplace,HG 1/144 Schwarzette Model Kit The Witch From Mercury Mecha Figure Collectible,17.99,0.0,False,USD,New,https://www.ebay.com/itm/236886111020?_skw=gundam&hash=item372783332c:g:BhwAAeSwiXBqNRWc&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGYm19cSbwONjjKm4uH8RjkOU%2Bkcz4CwIi8jNO5B65xbaVnrwt2i3IiZjNXHfWKWbyZSghVsOog0LTk4TpK%2BvHfJTatrFKranoAcMUyEUGk3b6Czjmh7wWCHei59VXiF2cRjS%2Bm8z%2BxyIc%2FJVxcdOjzbB5JVpjZPmi9kYyeVVDMz5OF1V4ml7prQcolDNQlxl3t2vDdZaflZdsY7fKJWnQjc%2FClFVheIdN8V3RNg62vxgJqq3OaD%2BxTGxffZr7JTwNrAFSAzd3xvOT66vxTjwZMI,https://i.ebayimg.com/images/g/BhwAAeSwiXBqNRWc/s-l225.jpg
gundam,eBay,marketplace,Bandai Hobby Gundam Wing: Endless Waltz Sandrock Custom EW HG 1/144 Model Kit,49.95,0.0,False,USD,New,https://www.ebay.com/itm/147468676288?_skw=gundam&hash=item2255d16cc0:g:b98AAeSwfPFqh2lj,https://i.ebayimg.com/images/g/b98AAeSwfPFqh2lj/s-l225.jpg
gundam,eBay,marketplace,"RX-78-2 Gundam Ver. 2.0 ""Mobile Suit Gundam"", Bandai Hobby RG 1/144 Model Kit",41.0,0.0,False,USD,New,https://www.ebay.com/itm/127876713191?_skw=gundam&hash=item1dc60bcae7:g:4~4AAeSwBP5p0D~u,https://i.ebayimg.com/images/g/4~4AAeSwBP5p0D~u/s-l225.jpg
gundam,eBay,marketplace,Bandai Hobby Gundam Haropla Haro Pla 02 Haro Basic Green New Ver. Model Kit USA,18.0,0.0,False,USD,New,https://www.ebay.com/itm/376588636242?_skw=gundam&hash=item57ae6e9052:g:WdYAAeSwt~Bo3Mla,https://i.ebayimg.com/images/g/WdYAAeSwt~Bo3Mla/s-l225.jpg
gundam,eBay,marketplace,Bandai 1/144 Gunpla Option Parts Set #11: Smoothbore Gun for Barbatos Gundam,4.41,2.99,False,USD,New,https://www.ebay.com/itm/404953417636?_skw=gundam&hash=item5e491ac7a4:g:mVoAAeSwcxBprbD~,https://i.ebayimg.com/images/g/mVoAAeSwcxBprbD~/s-l225.jpg
gundam,eBay,marketplace,HGUC 1/144 7th Gundam G07  Bandai High Grade Model Kit 0081 US Seller,34.98,15.0,False,USD,New,https://www.ebay.com/itm/188826297640?_skw=gundam&hash=item2bf6eca528:g:PzoAAeSwXm5qiBgl,https://i.ebayimg.com/images/g/PzoAAeSwXm5qiBgl/s-l225.jpg
gundam,eBay,marketplace,Bandai Hobby Gundam Geara Doga MG 1/100 Model Kit USA Seller,64.95,0.0,False,USD,New,https://www.ebay.com/itm/147478287931?_skw=gundam&hash=item225664163b:g:XZYAAeSwNhhqiMso,https://i.ebayimg.com/images/g/XZYAAeSwNhhqiMso/s-l225.jpg
gundam,eBay,marketplace,"#26 RX-78-02 Gundam Gundam The Origin, Bandai Hobby HG The Origin 1/144",31.0,0.0,False,USD,New,https://www.ebay.com/itm/187876405694?_skw=gundam&hash=item2bbe4e71be:g:~dkAAeSwS9pqO~GM,https://i.ebayimg.com/images/g/~dkAAeSwS9pqO~GM/s-l225.jpg
gundam,eBay,marketplace,HG 1/144 Gundam Model Kit Parts #02 - Replacement Spare Kitbashing - USA Seller,4.3,,True,USD,New,https://www.ebay.com/itm/117251015640?_skw=gundam&hash=item1b4cb483d8:g:lLQAAeSwWatqgUFw,https://i.ebayimg.com/images/g/lLQAAeSwWatqgUFw/s-l225.jpg
