category,site,site_type,title,price,shipping,currency,condition,url
gundam,eBay,marketplace,Bandai Gundam HG 1/144 Gundnode - Witch From Mercury 🪿US Seller🪿,49.99,0.0,USD,New,https://www.ebay.com/itm/318751089587?_skw=gundam&hash=item4a370ba3b3:g:~7AAAeSw0KVqhPf3&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGb3UKXGGqd8mjALVnX3nSMM%2F264Bisi%2F6AWHmAkSz9JJqbIdkM8gVHIyndeYAdqEUf91BxLzQYARskh5KzKuLO2knS73wpPsN3VW5wHX33yPFoKubUKFGRy%2BSym9kh0beCkfDp32mzi5G8QrV1yunQqyZ6L%2BVSbNXYqXDUxd6CrjlWEw0VKZtm1premjAkB--bFJxt1cVyUWAVgUHwIKZX0tjOHuSVuwuOMK53sz0ukCaJ7SaoKiV6X2xBBlNmR6oih97juVUTrwjGi1cZOmeYn
gundam,eBay,marketplace,HG 1/144 MS-07H-8 Gouf Flight Type Model Kit Anime Action Figure Toy Gift,29.9,0.0,USD,New,https://www.ebay.com/itm/389966307054?_skw=gundam&hash=item5acbcd9eee:g:wuQAAeSwI-5p9lHJ&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGad3ZpiaSeR1G1%2FltR8Yn6LCibbPz9KXTeQJ0VIt11csO8m81%2BJNs2zM3X2c%2BJjdAUogYte2P5oXdJpjkNT2bRdq1kALhxWL3D0C5mmCG3lQIXwykFTNx7bnNWrO2Q5vrtYFLVrWyFX5oDZnhZSFJ8hrnUXbCjNvK3UpSswvOzlNDp%2FCdel2dLoEOCDbQExWIRqhTdBo%2BXCRbqtO9FffZo1G%2BkoedUfJnYWmDBYC%2FAAmLxjNR3q%2BFcyIZdroKG5kEtdPXLiadknbf%2BGFqIxG%2Bsn
gundam,eBay,marketplace,HG 1/144 GTO MS-06C-6/R6 Zaku II Type C-6 Mecha Model Kit Figure Toy Gift Robots,17.99,0.0,USD,New,https://www.ebay.com/itm/236819433301?_skw=gundam&hash=item372389c755:g:FFEAAeSwkB5qCBOj&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGb4FdVrI3w0FL1L%2FJUY999B4rMS4yP2Zyhuf4NcZyu7zYhefaxtnNQH8Sojjp3rtb6Vk%2FTKVvDwJ8LQYPcN8nfAufO%2BG8tMMZW4Y8UNQoAoeTZlRH8YRjZO4WrtWSnBTPBmx7pHPkdUasF4dO6O4gVi4%2BQ4qa56pr8pjNvHxSQAk6xcigRF8uy3DuodkkWQBjiv4m7vB44aX6KK20mE3%2FC5eHxypSoTn%2BnEE4x%2FoWiekJn4K7wFXFxCw7o2SojP8C6QhPSq7AaPbbiUK86W8EY3
gundam,eBay,marketplace,MG 1/100 Wing Gundam Proto Zero EW ver. Endless Waltz Model Kit Bandai Hobby,59.0,0.0,USD,New,https://www.ebay.com/itm/188075009221?_skw=gundam&hash=item2bca24e4c5:g:XD4AAeSwAdhqO~Ge
gundam,eBay,marketplace,MG 1/100 Dom (New Ver.) Mobile Suit Gundam Model Kit Bandai Hobby,44.99,0.0,USD,New,https://www.ebay.com/itm/287484536105?_skw=gundam&hash=item42ef69e529:g:KJEAAeSwxMpqZYx~
gundam,eBay,marketplace,Bandai #28 Tallgeese RG 1/144 Model Kit - US Fast Ship,39.95,0.0,USD,New,https://www.ebay.com/itm/175653540965?_skw=gundam&hash=item28e5c45465:g:r3IAAOSwI-JkE3La
gundam,eBay,marketplace,Bandai Hobby Gundam MS-06F Zaku II RG 1/144 Model Kit USA Seller,38.02,0.0,USD,New,https://www.ebay.com/itm/137576181708?_skw=gundam&hash=item20082defcc:g:KZEAAeSwIf9qh4QM
gundam,eBay,marketplace,HG 1/144 Red Comet Zaku Gundam Model Kit Assembly Action Figure Collectible Toy,13.99,0.0,USD,New,https://www.ebay.com/itm/366434240113?_skw=gundam&hash=item55512ec671:g:VmoAAeSwkuZqFQ1u
gundam,eBay,marketplace,BAN2535355 Bandai SD-EX Standard Hello Kitty & RX-78-2 Gundam 'Gundam',25.2,,USD,New,https://www.ebay.com/itm/198514999088?_skw=gundam&hash=item2e386a7f30:g:tfUAAeSwzDRqaOmK
gundam,eBay,marketplace,Built & Painted HG 1/144 Alyzeus & Messer Type-M01 Gundam Hathaway Pro-Painted,400.0,0.0,USD,Used,https://www.ebay.com/itm/800256232038?_skw=gundam&hash=itemba52fd0a66:g:BkEAAeSwSHJqQQqT&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGbszZajqL8JDslZZ9fbPhZnVpxJpkj0e2P7jZIL1i9q7zIK221B%2BDoUjudmHWfieyQ0OlsUIxt5huGJnk2TtyL2jCcIjI7biHMhKjDUcTY07rtfdvrDz%2BuVMcF%2FBVXAFKOhVDFVO3TlBtYjvOxV0%2BHOJOVdRByWTo8tFImQd2clZTu67d4zbwHOtW%2FzhGNl34VpiPHUyzDSEF4ZIFY3ves1DXCzX6lqMPifwtCxUiMcgjSFx0Z1Og7ppRHUpcOP31aWfv2o%2BX0b%2BhM75yPhpmcD
gundam,eBay,marketplace,Mobile Suit Ensemble 10 Bandai Gundam Capsule Assembly Model Kits Collectible,15.99,10.99,USD,New,https://www.ebay.com/itm/398296407607?_skw=gundam&hash=item5cbc50de37:g:H3MAAeSw1yVqgpRV&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZyeaNT119qFfQ4k41katOSxiwWxfVUQtnPKBjrDrGIH7O8apvTdA61qN5YCVqJqZEv0XW4JM5nFnZbuPr%2FXslinDGv9NStr26e8DTkiC%2BEKXzrLUYQSrQbgfnH%2BUUxBsWCM3jHTOu8dIKUjIwT6gFx1gjxW3T9HPhkvjzYVOHAJeKDXLYpF3Nc%2BAWlR%2FtmHatjc%2FSwYMQNkGyi5ihEKCijmO5oz0uaCTTuTYi5LWZ7CWvGikxO4DSGnlKNgZ7IajRM3n%2BO9Ho%2B%2BYEqieN2KFDF
gundam,eBay,marketplace,Bandai Hobby Build Fighters #03 HGBF Gundam X Maoh HG 1/144 Model Kit,33.95,0.0,USD,New,https://www.ebay.com/itm/147452014553?_skw=gundam&hash=item2254d32fd9:g:uSYAAeSw7BNqhcnG
gundam,eBay,marketplace,Bandai Hobby Gundam Geara Doga MG 1/100 Model Kit USA Seller,64.95,0.0,USD,New,https://www.ebay.com/itm/147478287931?_skw=gundam&hash=item225664163b:g:WbsAAeSw3T9qgFcj
gundam,eBay,marketplace,BAN2156349 Bandai MG Gundam AGE-2 Normal 'Gundam AGE',35.99,0.0,USD,New,https://www.ebay.com/itm/117307586146?_skw=gundam&hash=item1b5013b662:g:M0MAAeSw-1dqWmU0
